Address,Website,Phone,Map Code,Additional Info
"1095 Julian Orchards Dr, Julian, CA 92036",highlandsorchard.com,,"494R+VP Julian, California",
"1052 Julian Orchards Dr, Julian, CA 92036",applesandartorchards.com,(760) 310-6368,"494R+9C Julian, California",Claim this business
"4381 Julian Hwy, Julian, CA 92036",xola.com,(760) 765-5494,"39W3+59 Julian, California","julianfarmandorchard.com, Identifies as women-owned"
"955 Hanson Ln, Ramona, CA 92065",,(619) 994-7705,"24GR+86 Ramona, California",Claim this business
"1914 Pamo Rd, Ramona, CA 92065",,(760) 789-3859,"34GQ+4X Ramona, California",Claim this business
"4381 Julian Hwy, Julian, CA 92036",julianfarmandorchard.com,(760) 765-5494,"39V2+XP Julian, California","Located in: Julian Farm and Orchard, LGBTQ+ friendly, Identifies as women-owned"
"31030 Rodriguez Rd, Escondido, CA 92026",jrorganicsfarm.com,(760) 453-4144,"7VHF+8G Escondido, California",
"2148 Robertson St, Ramona, CA 92065",threesonsfarm.org,(760) 685-4873,"24J6+WF Ramona, California",Claim this business
"Golden Eagle Farm, 27236 CA-78, Ramona, CA 92065",goldeneaglegardens.com,(619) 455-1123,"37F5+F5 Ramona, California",Identifies as Indigenous-owned
"12630 Santa Catalina Rd, Valley Center, CA 92082",stehlyfarmsorganics.com,(760) 742-1186,"8W5H+5M Valley Center, California",Claim this business
"21345 San Pasqual Rd, Escondido, CA 92025",,(760) 747-3434,"3XWH+QC Escondido, California",Claim this business
