4000
generated by VMD
Au -1.281789 -5.425581 52.088364
Au 19.778030 37.266085 14.369109
Au -18.512550 49.219751 67.619822
Au 25.521617 -0.302582 69.838602
Au 37.008791 -2.010248 45.432025
Au 35.094262 3.112752 60.963483
Au 31.265204 16.774085 69.838602
Au 52.325023 47.512084 -5.599909
Au 6.376327 4.820418 69.838602
Au -20.427079 27.020085 60.963483
Au 8.290856 25.312418 3.275210
Au 37.008791 52.635084 32.119346
Au 37.008791 42.389085 43.213245
Au 35.094262 -0.302582 12.150329
Au 15.948972 1.405085 9.931549
Au 4.461798 3.112752 52.088364
Au 46.581436 42.389085 16.587888
Au 21.692559 11.651085 7.712769
Au 15.948972 35.558418 72.057381
Au 35.094262 54.342751 47.650804
Au 14.034443 33.850751 -10.037468
Au -8.939905 28.727751 56.525923
Au 17.863501 32.143085 23.244227
Au 2.547269 -12.256248 -12.256248
Au 17.863501 -5.425581 38.775686
Au 37.008791 32.143085 52.088364
Au 35.094262 27.020085 43.213245
Au -8.939905 49.219751 36.556906
Au 25.521617 47.512084 -1.162349
Au 37.008791 27.020085 16.587888
Au -18.512550 11.651085 56.525923
Au 25.521617 27.020085 3.275210
Au 38.923320 1.405085 9.931549
Au 52.325023 35.558418 -1.162349
Au 54.239552 40.681418 32.119346
Au -3.196318 40.681418 18.806668
Au 6.376327 38.973751 67.619822
Au -8.939905 23.604751 16.587888
Au 25.521617 25.312418 25.463007
Au -18.512550 9.943418 49.869584
Au 4.461798 54.342751 27.681787
Au 54.239552 27.020085 58.744703
Au -8.939905 18.481752 34.338126
Au 40.837849 6.528085 27.681787
Au 46.581436 49.219751 72.057381
Au 40.837849 6.528085 38.775686
Au 6.376327 -3.717915 27.681787
Au 29.350675 1.405085 5.493990
Au 44.666907 44.096751 54.307144
Au 17.863501 25.312418 72.057381
Au -1.281789 40.681418 52.088364
Au 4.461798 -3.717915 47.650804
Au 33.179733 4.820418 72.057381
Au 8.290856 -3.717915 7.712769
Au -16.598021 3.112752 7.712769
Au -14.683492 30.435418 72.057381
Au 4.461798 21.897085 36.556906
Au -18.512550 44.096751 -10.037468
Au 10.205385 4.820418 54.307144
Au 54.239552 47.512084 36.556906
Au 44.666907 8.235752 1.056430
Au 50.410494 -12.256248 34.338126
Au 50.410494 -2.010248 65.401042
Au 14.034443 40.681418 21.025448
Au 37.008791 35.558418 60.963483
Au -20.427079 -0.302582 47.650804
Au 15.948972 25.312418 -10.037468
Au 42.752378 32.143085 67.619822
Au 4.461798 35.558418 -3.381129
Au 8.290856 28.727751 49.869584
Au 2.547269 4.820418 -7.818689
Au -10.854434 -10.548581 36.556906
Au 33.179733 -12.256248 18.806668
Au -16.598021 23.604751 36.556906
Au 10.205385 27.020085 47.650804
Au 33.179733 -7.133248 29.900567
Au 19.778030 -5.425581 5.493990
Au -3.196318 1.405085 67.619822
Au 4.461798 35.558418 43.213245
Au 23.607088 45.804418 18.806668
Au 52.325023 40.681418 1.056430
Au -3.196318 49.219751 40.994465
Au 15.948972 20.189418 34.338126
Au 4.461798 30.435418 12.150329
Au 37.008791 27.020085 58.744703
Au 31.265204 -12.256248 65.401042
Au -10.854434 11.651085 72.057381
Au 8.290856 21.897085 23.244227
Au 12.119914 3.112752 67.619822
Au 46.581436 49.219751 56.525923
Au 12.119914 35.558418 18.806668
Au -1.281789 25.312418 1.056430
Au 17.863501 42.389085 47.650804
Au -16.598021 20.189418 69.838602
Au 29.350675 -7.133248 36.556906
Au 52.325023 13.358752 54.307144
Au 17.863501 18.481752 7.712769
Au 8.290856 6.528085 -1.162349
Au -12.768963 54.342751 60.963483
Au 14.034443 23.604751 52.088364
Au 50.410494 15.066418 36.556906
Au -1.281789 -0.302582 9.931549
Au 4.461798 -0.302582 74.276161
Au 40.837849 -0.302582 54.307144
Au 14.034443 42.389085 29.900567
Au 33.179733 6.528085 16.587888
Au 6.376327 35.558418 49.869584
Au 40.837849 35.558418 -7.818689
Au 6.376327 40.681418 -10.037468
Au 14.034443 -7.133248 3.275210
Au 40.837849 33.850751 58.744703
Au 15.948972 47.512084 18.806668
Au 19.778030 44.096751 74.276161
Au -20.427079 50.927418 49.869584
Au 14.034443 42.389085 45.432025
Au 33.179733 23.604751 36.556906
Au -12.768963 9.943418 23.244227
Au 50.410494 -10.548581 54.307144
Au 35.094262 4.820418 21.025448
Au 54.239552 -12.256248 63.182262
Au 6.376327 49.219751 16.587888
Au 52.325023 47.512084 52.088364
Au 25.521617 28.727751 -1.162349
Au 27.436146 13.358752 65.401042
Au -7.025376 47.512084 67.619822
Au -10.854434 8.235752 5.493990
Au -16.598021 35.558418 40.994465
Au 23.607088 27.020085 25.463007
Au 44.666907 1.405085 -7.818689
Au 38.923320 15.066418 -12.256248
Au 8.290856 1.405085 65.401042
Au -18.512550 35.558418 -12.256248
Au -16.598021 -10.548581 -12.256248
Au 48.495965 13.358752 27.681787
Au 48.495965 33.850751 29.900567
Au 0.632740 20.189418 29.900567
Au 27.436146 49.219751 58.744703
Au 4.461798 3.112752 69.838602
Au 0.632740 1.405085 1.056430
Au -5.110847 23.604751 5.493990
Au 23.607088 49.219751 18.806668
Au 15.948972 40.681418 29.900567
Au 35.094262 40.681418 38.775686
Au 23.607088 18.481752 47.650804
Au 12.119914 15.066418 14.369109
Au 4.461798 -3.717915 12.150329
Au 35.094262 38.973751 58.744703
Au -12.768963 25.312418 21.025448
Au 38.923320 13.358752 25.463007
Au 0.632740 23.604751 3.275210
Au 6.376327 45.804418 56.525923
Au 31.265204 16.774085 -3.381129
Au 31.265204 50.927418 1.056430
Au -10.854434 18.481752 29.900567
Au 50.410494 23.604751 38.775686
Au 15.948972 21.897085 29.900567
Au -18.512550 6.528085 27.681787
Au 0.632740 52.635084 54.307144
Au 14.034443 1.405085 -5.599909
Au 15.948972 21.897085 54.307144
Au 35.094262 9.943418 1.056430
Au 10.205385 -7.133248 -10.037468
Au 50.410494 44.096751 16.587888
Au 17.863501 4.820418 21.025448
Au -10.854434 32.143085 27.681787
Au -5.110847 32.143085 63.182262
Au 19.778030 50.927418 12.150329
Au 10.205385 8.235752 -3.381129
Au 42.752378 13.358752 29.900567
Au 37.008791 44.096751 47.650804
Au -5.110847 32.143085 23.244227
Au 40.837849 30.435418 7.712769
Au -8.939905 -8.840915 34.338126
Au 38.923320 11.651085 18.806668
Au 46.581436 54.342751 72.057381
Au -8.939905 30.435418 38.775686
Au 44.666907 49.219751 67.619822
Au 38.923320 40.681418 27.681787
Au 8.290856 -10.548581 7.712769
Au -10.854434 32.143085 21.025448
Au -7.025376 -8.840915 7.712769
Au -12.768963 50.927418 36.556906
Au 25.521617 18.481752 -3.381129
Au -18.512550 27.020085 27.681787
Au -7.025376 28.727751 36.556906
Au 33.179733 -3.717915 74.276161
Au 4.461798 47.512084 36.556906
Au 46.581436 52.635084 23.244227
Au 35.094262 -0.302582 25.463007
Au -5.110847 3.112752 69.838602
Au 15.948972 32.143085 21.025448
Au 29.350675 -3.717915 18.806668
Au 44.666907 11.651085 27.681787
Au -7.025376 52.635084 32.119346
Au -14.683492 27.020085 12.150329
Au 54.239552 8.235752 23.244227
Au -8.939905 27.020085 56.525923
Au 38.923320 37.266085 -1.162349
Au -10.854434 16.774085 58.744703
Au 27.436146 -10.548581 29.900567
Au 33.179733 25.312418 3.275210
Au 2.547269 50.927418 14.369109
Au 17.863501 -3.717915 56.525923
Au 25.521617 32.143085 16.587888
Au -7.025376 45.804418 69.838602
Au -14.683492 16.774085 16.587888
Au -7.025376 35.558418 38.775686
Au 21.692559 52.635084 45.432025
Au 50.410494 37.266085 47.650804
Au -18.512550 27.020085 36.556906
Au 21.692559 25.312418 32.119346
Au 38.923320 45.804418 49.869584
Au 8.290856 4.820418 63.182262
Au 25.521617 27.020085 32.119346
Au 48.495965 9.943418 36.556906
Au 17.863501 -8.840915 27.681787
Au 31.265204 16.774085 56.525923
Au 15.948972 16.774085 -5.599909
Au 12.119914 16.774085 23.244227
Au -1.281789 -8.840915 38.775686
Au -18.512550 16.774085 27.681787
Au 2.547269 4.820418 72.057381
Au 17.863501 9.943418 63.182262
Au 0.632740 15.066418 9.931549
Au 10.205385 28.727751 36.556906
Au 50.410494 -2.010248 1.056430
Au 46.581436 -12.256248 -12.256248
Au 4.461798 6.528085 58.744703
Au 38.923320 -3.717915 14.369109
Au -18.512550 11.651085 43.213245
Au -16.598021 40.681418 18.806668
Au 37.008791 42.389085 40.994465
Au -8.939905 54.342751 36.556906
Au 23.607088 49.219751 23.244227
Au 21.692559 21.897085 3.275210
Au -18.512550 4.820418 7.712769
Au -3.196318 1.405085 43.213245
Au 8.290856 52.635084 25.463007
Au 42.752378 -12.256248 58.744703
Au -12.768963 -5.425581 9.931549
Au 2.547269 30.435418 34.338126
Au 6.376327 21.897085 9.931549
Au -18.512550 6.528085 52.088364
Au 2.547269 11.651085 16.587888
Au 8.290856 1.405085 38.775686
Au -12.768963 52.635084 7.712769
Au 6.376327 38.973751 60.963483
Au 23.607088 4.820418 34.338126
Au 4.461798 50.927418 36.556906
Au -10.854434 -3.717915 36.556906
Au 14.034443 23.604751 29.900567
Au 38.923320 6.528085 21.025448
Au 40.837849 38.973751 7.712769
Au 10.205385 -5.425581 7.712769
Au -18.512550 11.651085 27.681787
Au 52.325023 52.635084 -5.599909
Au 6.376327 47.512084 72.057381
Au 0.632740 42.389085 54.307144
Au 44.666907 23.604751 12.150329
Au -1.281789 27.020085 72.057381
Au 40.837849 32.143085 3.275210
Au 35.094262 25.312418 27.681787
Au 37.008791 40.681418 38.775686
Au -18.512550 30.435418 74.276161
Au 46.581436 54.342751 21.025448
Au 14.034443 49.219751 58.744703
Au 6.376327 15.066418 -7.818689
Au -3.196318 54.342751 60.963483
Au 54.239552 8.235752 38.775686
Au -3.196318 45.804418 52.088364
Au 0.632740 4.820418 34.338126
Au 50.410494 6.528085 69.838602
Au 10.205385 44.096751 52.088364
Au 17.863501 25.312418 34.338126
Au 35.094262 21.897085 67.619822
Au -10.854434 47.512084 18.806668
Au 27.436146 21.897085 27.681787
Au 17.863501 -5.425581 72.057381
Au 23.607088 32.143085 16.587888
Au 2.547269 47.512084 -7.818689
Au 23.607088 33.850751 12.150329
Au 31.265204 -5.425581 9.931549
Au 31.265204 -10.548581 23.244227
Au 50.410494 -5.425581 18.806668
Au 42.752378 45.804418 23.244227
Au 14.034443 33.850751 7.712769
Au 44.666907 -2.010248 34.338126
Au 8.290856 -12.256248 40.994465
Au 52.325023 15.066418 49.869584
Au 21.692559 3.112752 43.213245
Au 15.948972 -0.302582 32.119346
Au 31.265204 15.066418 36.556906
Au 42.752378 20.189418 45.432025
Au 19.778030 25.312418 5.493990
Au 40.837849 27.020085 18.806668
Au -20.427079 42.389085 34.338126
Au -1.281789 49.219751 16.587888
Au 35.094262 16.774085 40.994465
Au 23.607088 21.897085 60.963483
Au -5.110847 16.774085 5.493990
Au 2.547269 6.528085 43.213245
Au 37.008791 27.020085 47.650804
Au 15.948972 11.651085 34.338126
Au 0.632740 44.096751 29.900567
Au 27.436146 21.897085 12.150329
Au 17.863501 -5.425581 52.088364
Au 33.179733 8.235752 63.182262
Au 33.179733 18.481752 18.806668
Au 37.008791 21.897085 21.025448
Au -8.939905 42.389085 18.806668
Au 48.495965 8.235752 -7.818689
Au -12.768963 13.358752 25.463007
Au 52.325023 -3.717915 67.619822
Au 25.521617 -2.010248 54.307144
Au 42.752378 20.189418 21.025448
Au 31.265204 25.312418 -10.037468
Au 14.034443 1.405085 23.244227
Au 48.495965 32.143085 54.307144
Au -18.512550 -3.717915 29.900567
Au 17.863501 -0.302582 67.619822
Au 33.179733 -0.302582 43.213245
Au 27.436146 37.266085 -3.381129
Au 0.632740 8.235752 58.744703
Au 15.948972 -5.425581 45.432025
Au -5.110847 9.943418 -3.381129
Au 14.034443 -0.302582 3.275210
Au 54.239552 42.389085 -3.381129
Au 37.008791 45.804418 -12.256248
Au -5.110847 -7.133248 60.963483
Au 0.632740 -10.548581 45.432025
Au -20.427079 9.943418 54.307144
Au -5.110847 16.774085 47.650804
Au -18.512550 -5.425581 7.712769
Au 35.094262 -10.548581 -5.599909
Au 54.239552 20.189418 -7.818689
Au 4.461798 32.143085 36.556906
Au -7.025376 -2.010248 63.182262
Au 25.521617 42.389085 9.931549
Au 31.265204 30.435418 -12.256248
Au 14.034443 9.943418 -7.818689
Au 23.607088 42.389085 3.275210
Au 23.607088 23.604751 9.931549
Au 31.265204 20.189418 3.275210
Au 4.461798 8.235752 7.712769
Au 50.410494 33.850751 -1.162349
Au 0.632740 9.943418 56.525923
Au 23.607088 23.604751 58.744703
Au 48.495965 45.804418 40.994465
Au 21.692559 18.481752 72.057381
Au 37.008791 23.604751 63.182262
Au 33.179733 27.020085 3.275210
Au 46.581436 35.558418 74.276161
Au 23.607088 1.405085 54.307144
Au 14.034443 44.096751 -5.599909
Au -12.768963 32.143085 9.931549
Au 48.495965 -8.840915 -10.037468
Au 17.863501 45.804418 16.587888
Au -16.598021 -3.717915 34.338126
Au 17.863501 15.066418 21.025448
Au 33.179733 6.528085 3.275210
Au 42.752378 30.435418 67.619822
Au 27.436146 -7.133248 40.994465
Au 21.692559 16.774085 -10.037468
Au 40.837849 27.020085 -7.818689
Au -20.427079 25.312418 69.838602
Au -12.768963 20.189418 -3.381129
Au 2.547269 21.897085 14.369109
Au 44.666907 33.850751 -1.162349
Au 42.752378 -3.717915 52.088364
Au 40.837849 3.112752 -7.818689
Au -18.512550 9.943418 12.150329
Au -1.281789 21.897085 27.681787
Au 8.290856 35.558418 -10.037468
Au 46.581436 27.020085 -5.599909
Au -12.768963 15.066418 47.650804
Au 14.034443 8.235752 32.119346
Au 46.581436 13.358752 67.619822
Au -20.427079 -5.425581 54.307144
Au 17.863501 4.820418 16.587888
Au 50.410494 23.604751 40.994465
Au 54.239552 44.096751 63.182262
Au 40.837849 4.820418 25.463007
Au 29.350675 18.481752 21.025448
Au 21.692559 38.973751 5.493990
Au 8.290856 32.143085 -7.818689
Au 42.752378 40.681418 7.712769
Au 38.923320 23.604751 54.307144
Au 35.094262 33.850751 -10.037468
Au 10.205385 11.651085 23.244227
Au -20.427079 21.897085 27.681787
Au -3.196318 35.558418 47.650804
Au 21.692559 50.927418 21.025448
Au 14.034443 -7.133248 38.775686
Au -7.025376 -12.256248 9.931549
Au -3.196318 16.774085 65.401042
Au -12.768963 30.435418 72.057381
Au 14.034443 32.143085 -5.599909
Au 44.666907 1.405085 16.587888
Au 6.376327 6.528085 56.525923
Au 48.495965 3.112752 9.931549
Au 54.239552 11.651085 74.276161
Au 50.410494 32.143085 9.931549
Au -16.598021 38.973751 -12.256248
Au 19.778030 -10.548581 27.681787
Au 52.325023 6.528085 9.931549
Au 21.692559 -0.302582 -12.256248
Au 50.410494 9.943418 43.213245
Au -8.939905 -8.840915 5.493990
Au -12.768963 -8.840915 29.900567
Au -14.683492 35.558418 25.463007
Au 14.034443 -3.717915 72.057381
Au 0.632740 44.096751 -12.256248
Au 27.436146 27.020085 -3.381129
Au 21.692559 -10.548581 69.838602
Au 12.119914 47.512084 5.493990
Au 29.350675 20.189418 47.650804
Au 35.094262 38.973751 -7.818689
Au 0.632740 9.943418 45.432025
Au 35.094262 20.189418 54.307144
Au 48.495965 16.774085 65.401042
Au 44.666907 -8.840915 -10.037468
Au -7.025376 6.528085 -7.818689
Au 10.205385 -10.548581 36.556906
Au 29.350675 13.358752 3.275210
Au 46.581436 11.651085 32.119346
Au 38.923320 28.727751 16.587888
Au 48.495965 -2.010248 -10.037468
Au 4.461798 9.943418 14.369109
Au 35.094262 40.681418 47.650804
Au 50.410494 18.481752 56.525923
Au 25.521617 13.358752 27.681787
Au 38.923320 52.635084 29.900567
Au 12.119914 49.219751 56.525923
Au 37.008791 13.358752 16.587888
Au -14.683492 1.405085 -3.381129
Au 4.461798 9.943418 29.900567
Au 33.179733 -10.548581 74.276161
Au 0.632740 -0.302582 14.369109
Au 44.666907 3.112752 -12.256248
Au -7.025376 25.312418 52.088364
Au 48.495965 42.389085 18.806668
Au 50.410494 25.312418 -5.599909
Au -5.110847 9.943418 9.931549
Au 27.436146 15.066418 45.432025
Au 33.179733 4.820418 5.493990
Au 0.632740 6.528085 47.650804
Au 33.179733 -8.840915 43.213245
Au 40.837849 42.389085 40.994465
Au -20.427079 8.235752 -12.256248
Au 29.350675 6.528085 65.401042
Au 37.008791 -8.840915 45.432025
Au 31.265204 38.973751 1.056430
Au 21.692559 33.850751 38.775686
Au -10.854434 3.112752 -10.037468
Au 35.094262 40.681418 54.307144
Au 14.034443 1.405085 -7.818689
Au 2.547269 -10.548581 -7.818689
Au 12.119914 -5.425581 38.775686
Au 14.034443 4.820418 67.619822
Au 2.547269 4.820418 5.493990
Au 23.607088 49.219751 65.401042
Au -8.939905 40.681418 -12.256248
Au 17.863501 16.774085 36.556906
Au -1.281789 -3.717915 16.587888
Au 35.094262 -7.133248 43.213245
Au 29.350675 30.435418 45.432025
Au 27.436146 35.558418 -7.818689
Au 27.436146 20.189418 47.650804
Au 19.778030 21.897085 72.057381
Au 29.350675 23.604751 72.057381
Au 35.094262 -0.302582 -7.818689
Au -14.683492 25.312418 12.150329
Au -18.512550 35.558418 25.463007
Au 52.325023 38.973751 1.056430
Au 44.666907 38.973751 -5.599909
Au -20.427079 -7.133248 74.276161
Au 50.410494 30.435418 -3.381129
Au -10.854434 -5.425581 63.182262
Au -1.281789 38.973751 60.963483
Au -1.281789 -5.425581 -1.162349
Au -7.025376 -10.548581 27.681787
Au 19.778030 37.266085 47.650804
Au -10.854434 -7.133248 -3.381129
Au -14.683492 42.389085 67.619822
Au 50.410494 3.112752 38.775686
Au 38.923320 30.435418 -5.599909
Au -20.427079 -5.425581 12.150329
Au -1.281789 32.143085 74.276161
Au -5.110847 54.342751 21.025448
Au 21.692559 11.651085 -10.037468
Au -1.281789 33.850751 -12.256248
Au 6.376327 44.096751 27.681787
Au 38.923320 35.558418 43.213245
Au 35.094262 16.774085 72.057381
Au 29.350675 35.558418 47.650804
Au 23.607088 33.850751 54.307144
Au 38.923320 28.727751 43.213245
Au 2.547269 -10.548581 18.806668
Au -8.939905 52.635084 16.587888
Au -1.281789 -12.256248 1.056430
Au 10.205385 -10.548581 21.025448
Au 4.461798 28.727751 -12.256248
Au 54.239552 11.651085 54.307144
Au -7.025376 45.804418 63.182262
Au 50.410494 -7.133248 14.369109
Au 48.495965 49.219751 56.525923
Au 52.325023 49.219751 36.556906
Au 48.495965 -2.010248 45.432025
Au -5.110847 47.512084 25.463007
Au 42.752378 8.235752 3.275210
Au 19.778030 -8.840915 21.025448
Au 27.436146 -7.133248 36.556906
Au 12.119914 44.096751 60.963483
Au 44.666907 54.342751 32.119346
Au 35.094262 20.189418 -12.256248
Au 12.119914 52.635084 65.401042
Au 23.607088 40.681418 69.838602
Au 48.495965 -12.256248 14.369109
Au 23.607088 40.681418 56.525923
Au 23.607088 1.405085 60.963483
Au 31.265204 27.020085 38.775686
Au -10.854434 33.850751 43.213245
Au 35.094262 -3.717915 54.307144
Au 52.325023 45.804418 65.401042
Au -18.512550 -10.548581 -12.256248
Au -20.427079 20.189418 14.369109
Au 2.547269 54.342751 12.150329
Au 8.290856 3.112752 45.432025
Au -3.196318 8.235752 47.650804
Au -10.854434 16.774085 18.806668
Au -8.939905 38.973751 47.650804
Au 15.948972 54.342751 -1.162349
Au 25.521617 -8.840915 18.806668
Au -18.512550 25.312418 65.401042
Au -14.683492 25.312418 9.931549
Au -18.512550 -5.425581 69.838602
Au 29.350675 37.266085 -1.162349
Au -8.939905 21.897085 -5.599909
Au 33.179733 27.020085 63.182262
Au -10.854434 13.358752 45.432025
Au 44.666907 -5.425581 38.775686
Au 38.923320 18.481752 -7.818689
Au 14.034443 -0.302582 63.182262
Au 25.521617 40.681418 29.900567
Au -7.025376 -3.717915 34.338126
Au 31.265204 -12.256248 -3.381129
Au 15.948972 3.112752 69.838602
Au 21.692559 3.112752 58.744703
Au 6.376327 15.066418 49.869584
Au 15.948972 25.312418 -3.381129
Au 42.752378 32.143085 38.775686
Au 48.495965 -12.256248 58.744703
Au -7.025376 6.528085 56.525923
Au 48.495965 47.512084 36.556906
Au 0.632740 -5.425581 38.775686
Au -20.427079 37.266085 12.150329
Au 10.205385 6.528085 16.587888
Au -3.196318 -7.133248 9.931549
Au 31.265204 28.727751 69.838602
Au 40.837849 50.927418 1.056430
Au 35.094262 23.604751 45.432025
Au -18.512550 9.943418 67.619822
Au 46.581436 35.558418 69.838602
Au 33.179733 38.973751 -5.599909
Au 50.410494 47.512084 32.119346
Au -12.768963 33.850751 5.493990
Au 38.923320 44.096751 58.744703
Au -8.939905 -5.425581 52.088364
Au 35.094262 -0.302582 34.338126
Au 4.461798 44.096751 38.775686
Au -8.939905 15.066418 -12.256248
Au 38.923320 35.558418 67.619822
Au 42.752378 13.358752 -1.162349
Au 48.495965 49.219751 34.338126
Au -20.427079 -0.302582 36.556906
Au 2.547269 13.358752 40.994465
Au 15.948972 37.266085 40.994465
Au -5.110847 54.342751 43.213245
Au 38.923320 54.342751 16.587888
