DMP,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Ca-Au,Morse,,Ha-Au,Morse,,C3-Au,Morse,,N1-Au,Morse
De,0.001705,,De,0.001025,,De,0.001112,,De,0.002398
a,1.171604,,a,1.536931,,a,0.737888,,a,2.002787
r0,4.66878,,r0,2.071054,,r0,5.27834,,r0,3.2824
kE,0.004681,,kE,0.004842,,kE,0.001211,,kE,0.019238
,,,,,,,,,,
Distance,V(r),,Distance,V(r),,Distance,V(r),,Distance,V(r)
1.7,1.6813258274654423,,1.7,0.0006057825110763547,,1.7,0.18847797035320327,,1.7,1.245339608819855
1.8,1.319601234244023,,1.8,0.000273740724408759,,1.8,0.1607104904475957,,1.8,0.818153552287661
1.9,1.034639250440483,,1.9,9.267748575889483e-05,,1.9,0.13689936803896494,,1.9,0.5350379142736179
2,0.8102719750008516,,2,1.3647980846444817e-05,,2,0.11649134974120418,,2,0.34788343380514136
2.1,0.6337235348548668,,2.1,1.9407091553492e-06,,2.1,0.09900983246124923,,2.1,0.22456081230939448
2.2,0.49489989409365176,,2.2,3.312839280764916e-05,,2.2,0.08404429389316666,,2.2,0.14362807962036275
2.3,0.38582719580213676,,2.3,9.01899440640148e-05,,2.3,0.07124117694766968,,2.3,0.0907881503310593
2.3,0.38582719580213676,,2.3,9.01899440640148e-05,,2.3,0.07124117694766968,,2.3,0.0907881503310593
2.4,0.30020758941990766,,2.4,0.00016141634984915345,,2.4,0.06029602836370183,,2.4,0.05651830821950044
2.5,0.23306798419445643,,2.5,0.00023888984661501016,,2.5,0.05094671917477574,,2.5,0.03448432391525803
3,0.06271656401888669,,3,0.0005922678750662409,,3,0.021253077927863025,,3,0.0013868384626353012
4,0.00241128643850318,,4,0.0009219915815223642,,4,0.0027352829093606873,,4,0.001393875411429344
5,0.0001763724032071479,,5,0.0010023887844206976,,5,5.7804287781622796e-05,,5,0.002246681316245439
6,0.0010635330248682418,,6,0.0010201163987374642,,6,0.00018955077160700442,,6,0.0023772903973367314
7,0.0014901177131391948,,7,0.0010239488459144028,,7,0.0005753060776911604,,7,0.002395199817739483
8,0.001636867544800413,,8,0.0010247739142620108,,8,0.0008335287583496467,,8,0.0023976219957521265
9,0.0016837392891589568,,9,0.0010249513804074899,,9,0.0009738580612655584,,9,0.0023979489833257576
10,0.001698397691212633,,10,0.0010249895447431861,,10,0.0010448085401113935,,10,0.0023979931148279147
