DMP-Slab,Unnamed: 1,Unnamed: 2,Unnamed: 3,Xylyl-Slab,Unnamed: 5,Unnamed: 6,Unnamed: 7,DMP-Edge,Unnamed: 9,Unnamed: 10,Unnamed: 11,Xylyl-Edge,Unnamed: 13,Unnamed: 14,Unnamed: 15,DMP-Corner,Unnamed: 17,Unnamed: 18,Unnamed: 19,Xylyl-Corner,Unnamed: 21,Unnamed: 22,Unnamed: 23
Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename
2.1,0.570868568,-0.190214224,6,1.8,0.13966082,-0.52491439,5,1.7,0.625329088,-0.7309218,10,1.7,0.772361544,-0.604630976,6,1.7,0.4211998879,-0.872652432,5,1.7,0.297879984,-0.89770132,8
2.2,0.327772376,-0.190214224,5,1.9,-0.25343461,-0.52491439,3,1.8,-0.09556434399,-0.7309218,6,1.8,0.046611824,-0.604630976,5,1.8,-0.280349584,-0.872652432,4,1.8,-0.377196,-0.89770132,4
2.3,0.160922816,-0.190214224,3,2,-0.4469699,-0.52491439,1,1.9,-0.485813352,-0.7309218,3,1.9,-0.348467768,-0.604630976,3,1.9,-0.653975176,-0.872652432,3,1.9,-0.725070264,-0.89770132,3
2.4,0.044746992,-0.190214224,1,2.1,-0.52035802,-0.52491439,2,2,-0.669917776,-0.7309218,1,2,-0.537944056,-0.604630976,1,2,-0.823917784,-0.872652432,1,2,-0.871074152,-0.89770132,1
2.5,-0.036465,-0.190214224,2,2.2,-0.52491439,-0.52491439,4,2.1,-0.7309218,-0.7309218,2,2.1,-0.604630976,-0.604630976,2,2.1,-0.872652432,-0.872652432,2,2.1,-0.89770132,-0.89770132,2
2.6,-0.09341785602,-0.190214224,4,2.3,-0.49323859,-0.52491439,6,2.2,-0.721825576,-0.7309218,4,2.2,-0.60180884,-0.604630976,4,2.2,-0.853184304,-0.872652432,6,2.2,-0.857892896,-0.89770132,5
2.7,-0.133217032,-0.190214224,7,2.4,-0.44527639,-0.52491439,7,2.3,-0.67589212,-0.7309218,5,2.3,-0.562959896,-0.604630976,7,2.3,-0.7979517121,-0.872652432,7,2.3,-0.785747616,-0.89770132,6
2.8,-0.159888808,-0.190214224,8,2.5,-0.39244647,-0.52491439,8,2.3,-0.675892392,-0.7309218,7,3,-0.222064064,-0.604630976,8,3,-0.3486296081,-0.872652432,8,3,-0.302173096,-0.89770132,7
2.9,-0.176792112,-0.190214224,9,3,-0.18604781,-0.52491439,9,2.4,-0.614074272,-0.7309218,8,4,-0.06366010401,-0.604630976,9,4,-0.1086588321,-0.872652432,9,4,-0.08582184801,-0.89770132,15
3,-0.186495848,-0.190214224,10,4,-0.04957003999,-0.52491439,10,2.5,-0.547879128,-0.7309218,9,5,-0.02396306399,-0.604630976,10,5,-0.04594120805,-0.872652432,10,5,-0.03546744001,-0.89770132,9
3.1,-0.190214224,-0.190214224,18,5,-0.01760472999,-0.52491439,11,3,-0.28409516,-0.7309218,18,6,-0.009857823995,-0.604630976,11,6,-0.02355778402,-0.872652432,11,6,-0.01893786401,-0.89770132,10
3.2,-0.189595968,-0.190214224,19,6,-0.006976449997,-0.52491439,12,4,-0.08886172,-0.7309218,11,7,-0.004151264007,-0.604630976,12,7,-0.01375558404,-0.872652432,12,7,-0.012530768,-0.89770132,11
3.3,-0.186013592,-0.190214224,20,7,-0.003302780007,-0.52491439,13,5,-0.03690019997,-0.7309218,12,8,-0.001526871992,-0.604630976,13,8,-0.008727392028,-0.872652432,13,8,-0.00953142401,-0.89770132,12
4,-0.123559944,-0.190214224,11,8,-0.002096770004,-0.52491439,14,6,-0.01784428799,-0.7309218,13,9,-0.000172448005,-0.604630976,14,9,-0.005884448061,-0.872652432,14,9,-0.008110632007,-0.89770132,13
5,-0.04998965598,-0.190214224,12,9,-0.001722759998,-0.52491439,15,7,-0.009591535993,-0.7309218,14,10,0.0006338960147,-0.604630976,15,10,-0.004096320021,-0.872652432,15,10,-0.007198752015,-0.89770132,14
6,-0.01881097601,-0.190214224,13,10,-0.001558700007,-0.52491439,16,8,-0.005211519978,-0.7309218,15,,,-0.604630976,,,,-0.872652432,,,,-0.89770132,
7,-0.007634903991,-0.190214224,14,,,-0.52491439,,9,-0.00285110398,-0.7309218,16,,,-0.604630976,,,,-0.872652432,,,,-0.89770132,
8,-0.00371021601,-0.190214224,15,,,-0.52491439,,10,-0.001362719986,-0.7309218,17,,,-0.604630976,,,,-0.872652432,,,,-0.89770132,
9,-0.002383128018,-0.190214224,16,,,-0.52491439,,,,-0.7309218,,,,-0.604630976,,,,-0.872652432,,,,-0.89770132,
10,-0.001589024017,-0.190214224,17,,,-0.52491439,,,,-0.7309218,,,,-0.604630976,,,,-0.872652432,,,,-0.89770132,
